requested_amount_usd,application_date,request_title,screening_score,debt_to_income_text,region_code,employment_tenure_text,policy_code
9000,2008-12-13,car for my wife from private bussiness,573,17.91%,OR,2 years,0
2000,2008-12-14, ,,99999%,FL,2 years,0
10000,2008-12-14,Pay of debt,,-1%,MI,2 years,0
5000,2008-12-14, ,734,25.76%,WV,2 years,0
1000,2008-12-14,Hunting Facility,669,34%,AL,< 1 year,0
1500,2008-12-14,Alyssa medical,453,17.91%,PA,5 years,0
2000,2008-12-14,Debt,676,1.38%,PA,1 year,0
2000,2008-12-14,Debt Payoff,563,0%,KS,< 1 year,0
10000,2008-12-14,Starting my Business,,-1%,VA,1 year,0
10000,2008-12-14,"Looking for $10,000 loan",,-1%,PA,2 years,0
15000,2008-12-14,help...please,474,3.75%,WA,1 year,0
1000,2008-12-14,Europe,693,12.21%,FL,< 1 year,0
8000,2008-12-14,Consolidate Credit Cards,643,13.73%,FL,3 years,0
5000,2008-12-14,Car,511,0%,LA,10+ years,0
3200,2008-12-14, ,664,6.64%,WI,< 1 year,0
15000,2008-12-14,loan1,592,17.72%,CT,8 years,0
3000,2008-12-14,personal Loan,505,36.96%,GA,1 year,0
3000,2008-12-14,Consolidation of high interest CC's,553,9.69%,CA,1 year,0
20000,2008-12-14,Credit Card Debt Consolidation,615,19.89%,NY,7 years,0
15000,2008-12-14,Consolidation Loan,,-1%,TX,9 years,0
12000,2008-12-14,Debt Consolidation,714,11.21%,MI,3 years,0
12000,2008-12-14,Refinance & Consolidate Credit Card Debt,651,19.88%,MN,5 years,0
15000,2008-12-14,Home Loan down payment,582,28.44%,NH,< 1 year,0
1000,2008-12-14,Holiday expenses & medical bills,491,19.25%,IL,7 years,0
2100,2008-12-14,New Computer Needed,0,0%,FL,< 1 year,0
5000,2008-12-14,My School,,-1%,PA,< 1 year,0
5000,2008-12-14,Give Kids a Christmas and pay our rent,700,399%,NJ,9 years,0
9500,2008-12-14,Loan for insurance adjuster school.,752,29.96%,TX,< 1 year,0
6500,2008-12-14,Debt Consolidation,,-1%,GA,4 years,0
4500,2008-12-14,Personal loan BMR,597,21.82%,MN,1 year,0
6000,2008-12-14,Study loan for a skilled person,,-1%,CA,2 years,0
1500,2008-12-14,ned,,-1%,GA,4 years,0
15000,2008-12-14,finance officer,796,7.35%,NV,5 years,0
5000,2008-12-14,Christmas Expenses and Rent,642,3.68%,NJ,1 year,0
2000,2008-12-14,payoffs,507,0%,SC,10+ years,0
15000,2008-12-14,credit cards,589,46.58%,CA,5 years,0
20000,2008-12-14, ,741,27.35%,AZ,5 years,0
15000,2008-12-14,Credit Cards,,-1%,CA,5 years,0
15000,2008-12-14,Want to keep my house,449,23.31%,TX,3 years,0
15000,2008-12-14,Refiance loan and credit card w/BofA,701,33.51%,CA,10+ years,0
7000,2008-12-14,Personal Debt Consolidation,,-1%,AZ,< 1 year,0
3000,2008-12-14,mortgage payments,475,9.86%,MA,2 years,0
7000,2008-12-14,Need a loan to go to school,,-1%,WA,1 year,0
5000,2008-12-14,Recent Graduate - CC Debt,481,10.32%,OH,4 years,0
3000,2008-12-14,Kitchen,533,1.60%,OH,4 years,0
2000,2008-12-14,I need to move!,445,17.14%,CT,1 year,0
15000,2008-12-14,Reduce Debt to become Debt Free,658,34.87%,TX,7 years,0
4500,2008-12-14,Startup funds for lifestyle digest,472,0%,CA,1 year,0
1500,2008-12-14,Personal,538,37.52%,CA,2 years,0
2500,2008-12-14,personal loan,525,20.04%,CA,5 years,0
15000,2008-12-14,Home4myFamily & Debt Consolidation,608,9.50%,CA,1 year,0
10000,2008-12-14,I need Help Please!,493,10.10%,OH,< 1 year,0
6500,2008-12-14,Good Worker looking to Consolidate debt!,697,13.53%,IL,3 years,0
5000,2008-12-14,Get rid of debt to go back to school,544,1.45%,DC,< 1 year,0
4000,2008-12-14,2008 Credit Cards payoff,713,47.80%,MA,10+ years,0
1500,2008-12-14,Need money to move due to job relocation,433,7.68%,FL,< 1 year,0
12000,2008-12-14, ,671,28.16%,CA,< 1 year,0
1000,2008-12-14,Loan for apartment and education.,0,3.53%,CA,< 1 year,0
10000,2008-12-14,Helping Hand,0,0%,NY,< 1 year,0
10000,2008-12-14,RentPayment4aHouse,652,0%,CA,10+ years,0
4000,2008-12-14,secured or unsecured,450,0.58%,WI,8 years,0
3000,2008-12-14,Help getting out of Payday loans,623,21.45%,IL,6 years,0
3500,2008-12-14,Car Loan,432,2.17%,KS,4 years,0
2000,2008-12-14,Credit card ,,-1%,GA,2 years,0
5500,2008-12-14,New Furnace,693,33.75%,MA,2 years,0
2950,2008-12-14,independent contractor - cargo van work,548,0%,NJ,< 1 year,0
7000,2008-12-14,Professional Trader Seeks StartUp Capita,642,3.32%,NY,1 year,0
6000,2008-12-14,Duong Family Loan,539,34.46%,HI,8 years,0
5000,2008-12-14,wedding ,,-1%,NY,< 1 year,0
4000,2008-12-14,Please Help Single Mom ,477,14.21%,IL,< 1 year,0
1000,2008-12-14,Christmas Loan,494,23.85%,GA ,< 1 year,0
15000,2008-12-14,better future a head,614,3.90%,CO,3 years,0
20000,2008-12-14, ,665,28.24%,CA,5 years,0
3000,2008-12-15,icon1,505,15.96%,MD,3 years,0
2500,2008-12-15,New Beginnings,545,12.77%,MD,< 1 year,0
14161,2008-12-15, ,644,45.41%,SC,3 years,0
12000,2008-12-15, ,713,29.38%,IL,< 1 year,0
2500,2008-12-15,personal,566,20.79%,TX,< 1 year,0
1000,2008-12-15,Holiday Home expense loan.,660,0.72%,CA,6 years,0
5000,2008-12-15, ,695,25.80%,MA,2 years,0
2000,2008-12-15,"tuition, books, living expenses",0,0%,MO,1 year,0
4000,2008-12-15, ,660,2.20%,MA,2 years,0
4000,2008-12-15,Sterling McCord,613,0%,MO,< 1 year,0
8000,2008-12-15, ,685,27.69%,MS,5 years,0
3500,2008-12-15,Personal Loan,635,41.27%,PA,5 years,0
15000,2008-12-15,Gas Station Equipment Upgrade,727,82.26%,CA,5 years,0
1500,2008-12-15, ,657,38.59%,AL,4 years,0
25000,2008-12-15,Debt Consolidation,0,0%,MI,8 years,0
5000,2008-12-15, ,735,1.34%,FL,2 years,0
8000,2008-12-15, ,636,20.95%,GA,3 years,0
5500,2008-12-15,Personal Loan,,-1%,GA,3 years,0
8500,2008-12-15,Consolidation Loan,594,2.12%,NY,< 1 year,0
6000,2008-12-15,Sam's Loan,699,8.65%,WA,2 years,0
5000,2008-12-15,Accepted to grad school..but need help!,784,19.46%,FL,< 1 year,0
6000,2008-12-15,loans,656,25.92%,IL,2 years,0
4900,2008-12-15, ,625,53.20%,LA,< 1 year,0
3000,2008-12-15,I need money ,668,15.18%,MA ,10+ years,0
10000,2008-12-15,Help Lower the % APR on my credit cards,588,24.72%,VA,1 year,0
15000,2008-12-15,Personal loan,,-1%,PA,10+ years,0
15000,2008-12-15,Personal Loan,,-1%,MA,1 year,0
5000,2008-12-15,Business Loan,490,12.48%,CT,9 years,0
5000,2008-12-15,Consoln1,511,25.96%,CA,2 years,0
10000,2008-12-15,Attorney's fees for filing a pattent,688,16.26%,TX,10+ years,0
3000,2008-12-15,boydstxcutieloanforother,,-1%,TX,3 years,0
8000,2008-12-15, ,691,5.09%,FL,10+ years,0
8000,2008-12-15,Credit Card Payoff,706,38.73%,CA,2 years,0
3000,2008-12-15,Capital to start my business,,-1%,TX,1 year,0
5000,2008-12-15,paying bills off and christmas money ,526,156.40%,GA,10+ years,0
4500,2008-12-15,6x6 atv for hunting,598,4.48%,AL,< 1 year,0
15000,2008-12-15,Personal,566,0%,IL,< 1 year,0
3000,2008-12-15,Nursing student needs help ASAP! ,636,146.88%,FL,< 1 year,0
7200,2008-12-15,just need a litte help,518,13.17%,FL,1 year,0
10000,2008-12-15, ,725,0.50%,PA,2 years,0
3500,2008-12-15,EMG AUTO REPAIR ,538,9.64%,NM,< 1 year,0
2700,2008-12-15,Credit Card Refi,680,12.80%,VA,5 years,0
3000,2008-12-15,Car Purchase,628,12.50%,NJ,< 1 year,0
14650,2008-12-15,nuvell credit company,533,33.19%,TX,3 years,0
15000,2008-12-15,School Loan,,-1%,CA,1 year,0
5000,2008-12-15,educatio ,,-1%,TX,4 years,0
15000,2008-12-15,paying off debt,636,56.70%,MO,< 1 year,0
20000,2008-12-15, ,703,26.97%,PA,4 years,0
16000,2008-12-15, ,660,14.68%,IL,8 years,0
14500,2008-12-15, ,608,46.60%,IL,1 year,0
10000,2008-12-15,getting out of debt ,510,23.72%,GA,8 years,0
11000,2008-12-15,Digging my way out!!,502,29.92%,CO,< 1 year,0
15000,2008-12-15,Personal,464,0%,MO,1 year,0
10000,2008-12-15,Debt consolidation,658,28.11%,FL,1 year,0
2500,2008-12-15,Getting out of Pay Day Loans,,-1%,MN,10+ years,0
10000,2008-12-15,consolidate debt,684,27.44%,CT,10+ years,0
6500,2008-12-15,Consolidating debt at higher rate,688,3.37%,MO,1 year,0
5000,2008-12-15,Credit Card Debt,627,44.40%,LA,4 years,0
1800,2008-12-15,Hardship help,568,2.92%,MA,9 years,0
20000,2008-12-15, ,,99999%,CA,< 1 year,0
6500,2008-12-15,refinance and car repairs,699,4.55%,NJ,4 years,0
3000,2008-12-15, ,442,42.64%,SC,7 years,0
12000,2008-12-15, ,786,0.64%,VA,< 1 year,0
15000,2008-12-15,Temporary cash flow for business,683,33.65%,TX,7 years,0
15000,2008-12-15,Consolidating The Last of my Debt,592,27.09%,CA,5 years,0
5000,2008-12-15,Consolidating debt and car payment,642,30.20%,CA,10+ years,0
6000,2008-12-15,Help A Friend,0,0%,MD,< 1 year,0
5000,2008-12-15,buying something I need asap,575,0%,CA,3 years,0
15000,2008-12-15,Short term operations,683,33.65%,TX,7 years,0
9000,2008-12-15,Darrell Moss,437,18.70%,SC,7 years,0
3750,2008-12-15, ,,99999%,IL,2 years,0
15000,2008-12-15,My loan,733,3.92%,MA,2 years,0
15000,2008-12-15,Existing business needs some backing,,-1%,CA,6 years,0
15000,2008-12-15,Accreditation fees loan,641,15.75%,MA,10+ years,0
5000,2008-12-15, ,,99999%,TX,< 1 year,0
2000,2008-12-15,personal,803,11.33%,OH,10+ years,0
15000,2008-12-15,Business startup in need of funds,,-1%,OH,1 year,0
1000,2008-12-15,PLEASE HELP WITH MY MOVING EXPENSES!,522,0%,CA ,1 year,0
13250,2008-12-15,"Newly married, consolidating debts.",657,22.85%,WI,6 years,0
5000,2008-12-15,A little help....,692,27.85%,NH,5 years,0
6000,2008-12-15,Personal,0,0%,AZ,< 1 year,0
13300,2008-12-15, ,676,47.82%,RI,< 1 year,0
20000,2008-12-15, ,655,21.16%,PA,10+ years,0
5650,2008-12-15,pay off high APR credit cards,705,6.13%,CA,2 years,0
20000,2008-12-15, ,704,27.27%,MA,10+ years,0
3500,2008-12-15,One payment,638,35.50%,GA,< 1 year,0
10000,2008-12-15,CC Interest Rate Reduction,630,11.29%,TX,1 year,0
3000,2008-12-15,personal loan,478,3.59%,AK,< 1 year,0
5000,2008-12-15,Need help,541,108.26%,AZ,3 years,0
15000,2008-12-15, ,692,33.89%,VA,6 years,0
5000,2008-12-15,Desperately needed repairs.,605,9.22%,HI,9 years,0
10000,2008-12-15, ,669,28.31%,FL,3 years,0
15000,2008-12-15,Working Capital for Brewery,717,28.74%,WA,1 year,0
15000,2008-12-15,glen and rebeccas consolidation loan,673,7.05%,TX,1 year,0
5000,2008-12-15,Car,,-1%,PA,7 years,0
20000,2008-12-15, ,681,30.65%,NV,< 1 year,0
1000,2008-12-15,HELP ME GET MY TEETH,531,0%,OH,4 years,0
1500,2008-12-15, ,645,60.90%,TX,4 years,0
10000,2008-12-15,Real estate,515,18.12%,VA,6 years,0
6000,2008-12-15,to make credit even better,660,30.12%,UT,3 years,0
2500,2008-12-15,Loan for attorney fees,602,57.89%,TX,1 year,0
1000,2008-12-15,Invest in DOWNLOADSZILLA.COM,705,9.12%,TX,< 1 year,0
5000,2008-12-15,business,626,32.03%,PA,1 year,0
15000,2008-12-16,Purchasing Landscape Business,732,12.01%,TX,3 years,0
15000,2008-12-16,Marketing Needed Natioanlly Need Funding,502,46.91%,CA,10+ years,0
15000,2008-12-16,Consolidate,,-1%,NY,< 1 year,0
10000,2008-12-16,unsecured loan for unsecured debt,,-1%,NY,10+ years,0
15000,2008-12-16,credit card refinancing,697,40.94%,NJ,1 year,0
2500,2008-12-16,to fulfill my dream,632,42.32%,WI,< 1 year,0
15000,2008-12-16,Norma,522,61.07%,FL,< 1 year,0
6000,2008-12-16, ,,99999%,PA,9 years,0
10000,2008-12-16, ,649,33.56%,OH,6 years,0
15000,2008-12-16, ,710,37.28%,CT,< 1 year,0
5500,2008-12-16,PAY OFF DEBT,517,0%,IL,1 year,0
3000,2008-12-16,Home improvement,783,35.68%,FL,3 years,0
1800,2008-12-16,New Orleans Wedding,474,7.41%,AL,10+ years,0
2500,2008-12-16,Consolidate and Fix Car,764,9.65%,MN,< 1 year,0
10000,2008-12-16,Debt Consolidation to Improve Credit,674,5.16%,PA,5 years,0
15000,2008-12-16,Bridge Loan,782,24.98%,CA,10+ years,0
5000,2008-12-16,Debt PayOff,,-1%,IL,2 years,0
1000,2008-12-16,wedding please,,-1%,MD,2 years,0
15000,2008-12-16,pizzaloan,554,43.04%,OH,7 years,0
5000,2008-12-16,Nursing School loan,537,4.54%,AL,3 years,0
17000,2008-12-16, ,647,21.37%,CT,4 years,0
4000,2008-12-16,Final Wedding expenses,701,7.92%,NJ,< 1 year,0
8000,2008-12-16,for a few purposes,538,19.57%,NJ,3 years,0
10000,2008-12-16,travel business development,695,16.34%,PA,5 years,0
1900,2008-12-16,Consolidate Two Loans,482,13.65%,TX,< 1 year,0
8000,2008-12-16,Finishing astrophysics degree,,-1%,AZ,1 year,0
15000,2008-12-16,Debt Relief,518,16.18%,FL,< 1 year,0
2000,2008-12-16,grandmother needs help,437,28.24%,SC,7 years,0
10000,2008-12-16,my debt,658,15.85%,VA,1 year,0
10000,2008-12-16,paying off old bills,,-1%,FL,10+ years,0
5000,2008-12-16,emergency,449,18.06%,CA,< 1 year,0
2500,2008-12-16,Rental assistances and ulility assistanc,427,10.88%,CA,8 years,0
1500,2008-12-16,car problems,545,0%,CA,1 year,0
15000,2008-12-16,Loan for Business Equipment,745,3.08%,TX,3 years,0
7500,2008-12-16,Moving Loan,661,30.23%,NY,4 years,0
15000,2008-12-16, ,,99999%,NH,2 years,0
1000,2008-12-16,Buying a home,389,112.47%,MS,2 years,0
8600,2008-12-16,Debt consolidation loan,0,0%,AR,< 1 year,0
15000,2008-12-16,Reduce Credit Card Rates,682,25.45%,MI,1 year,0
15000,2008-12-16,Start up loan,720,7.74%,MI,8 years,0
15000,2008-12-16, ,655,1.14%,MA,< 1 year,0
15000,2008-12-16,student,446,0%,CT,2 years,0
7500,2008-12-16,Paying off Student Loans,0,0%,VA,2 years,0
18000,2008-12-16, ,754,72.29%,PA,7 years,0
5000,2008-12-16, ,668,28.43%,SC,6 years,0
8000,2008-12-16,Help please!!!,,-1%,CO,< 1 year,0
5000,2008-12-16,Check cashing,597,13.68%,OH,8 years,0
6500,2008-12-16, ,682,3.93%,NJ,< 1 year,0
10000,2008-12-16,Help me consolidate my debt,699,16.94%,CA,< 1 year,0
15000,2008-12-16,Credit line,540,18.34%,FL,5 years,0
1700,2008-12-16,Trying to continue my education,592,4.36%,NY,< 1 year,0
7000,2008-12-16,Car loan,504,14.91%,CT,10+ years,0
15000,2008-12-16,Personal Loan,662,12.89%,GA,10+ years,0
15000,2008-12-16,Evolved Mobile,435,5.31%,FL,< 1 year,0
7000,2008-12-16,HELP,505,1%,WI,< 1 year,0
10000,2008-12-16,Patton Apparel Designs,429,3.77%,CA,4 years,0
3500,2008-12-16,18. On my own. Moving Out.,694,15.27%,WI,< 1 year,0
1700,2008-12-16,Personal Loan,,-1%,GA,5 years,0
3500,2008-12-16,Hardship-Emergency,,-1%,VA,< 1 year,0
15000,2008-12-16,Student Loan,666,29.38%,CA,< 1 year,0
12000,2008-12-16,Looking for a fresh start ,601,26.91%,IL,< 1 year,0
5000,2008-12-16,Consolidate alot of bad decisions,542,10.65%,FL,1 year,0
15000,2008-12-16,consolidate credit card debt,681,43.54%,VT,4 years,0
3000,2008-12-16,personal debts,518,10.71%,CA,6 years,0
7000,2008-12-16,Reduce debt service costs,678,43.68%,CA,8 years,0
5000,2008-12-16,I need a good vehicle for my family,0,0%,TX,< 1 year,0
15000,2008-12-16,REO Rehab,723,0.82%,CA,4 years,0
15000,2008-12-16, ,699,6.14%,DC,< 1 year,0
1500,2008-12-16,Need Desperate Help,0,0%,MO,2 years,0
5000,2008-12-16,For my education,657,1.20%,CA,< 1 year,0
15000,2008-12-16,Debt consolidation,668,35.56%,CA,< 1 year,0
5000,2008-12-16,Looking for a $5000 loan,515,22.29%,OH,< 1 year,0
10000,2008-12-16,trucking business /expense,559,8.37%,GA,2 years,0
2500,2008-12-16,debt consolidation,678,2.54%,MI,10+ years,0
17500,2008-12-16, ,,99999%,KS,10+ years,0
7500,2008-12-16, ,655,12.20%,TX,6 years,0
12000,2008-12-16,Start up Business Loan,603,6.07%,CA,5 years,0
10000,2008-12-16,Line of Loan,667,5.62%,CA,< 1 year,0
15000,2008-12-16,Venture Capital,635,17.40%,PA,2 years,0
6000,2008-12-16,consolidate debt,592,26.12%,GA,10+ years,0
3000,2008-12-16,Loan,480,14.75%,CO,2 years,0
10000,2008-12-16,need some help,675,37.18%,NY,10+ years,0
15000,2008-12-16,Debt Consolidation Loan,659,24.19%,WA,< 1 year,0
10000,2008-12-16,One payment debt per month,688,13.89%,NJ,5 years,0
1000,2008-12-16,my own place,588,0%,KY,< 1 year,0
5000,2008-12-16,Personal,,-1%,KY,1 year,0
3200,2008-12-16,debts,473,16.40%,NY,< 1 year,0
2500,2008-12-16, ,607,19.39%,LA,7 years,0
1500,2008-12-16,Business growing faster than inventory!,,-1%,CA,3 years,0
6000,2008-12-16,Our first house,728,32.94%,CA,9 years,0
15000,2008-12-16,Amex refi,561,46.36%,MO,< 1 year,0
1500,2008-12-16,caleb's Christmas,482,14.60%,CO,1 year,0
15000,2008-12-16,i need help with some bills,585,32%,MO,1 year,0
6000,2008-12-16, ,643,13.10%,NY,< 1 year,0
6000,2008-12-16, ,,99999%,PA,3 years,0
20000,2008-12-16, ,692,29.18%,CA,< 1 year,0
3000,2008-12-16,Residential Realtor Making a Difference!,576,1.78%,FL,10+ years,0
15000,2008-12-16,debt consolidation,678,13.75%,CA,1 year,0
6000,2008-12-16,my own beauty salon,667,38.59%,OH,10+ years,0
8000,2008-12-16,consolidate my debts,551,15.72%,VA,8 years,0
15000,2008-12-16,Home purchace,504,37.63%,NH,5 years,0
5000,2008-12-16,"Need $5000 for car, and fix credit.",0,0%,MO,2 years,0
10000,2008-12-16,Loan for Education,,-1%,NJ,< 1 year,0
15000,2008-12-16,First Home Purchase,623,2.04%,LA,< 1 year,0
13000,2008-12-16, ,710,13.37%,OR,8 years,0
3000,2008-12-16,weding,0,0%,DE,2 years,0
8000,2008-12-16,"ImmidiateShelter:31' Boat, Juneau,AK... ",0,0%,AK,< 1 year,0
7000,2008-12-16,2 LOWER what i am ALREADY paying per mo,686,13.41%,CA,1 year,0
3500,2008-12-16,tired of paying fees,533,2.65%,TX,1 year,0
7000,2008-12-16,Kyle's Student Loan,632,15.21%,CA,3 years,0
11000,2008-12-16,2004 Motorcycle,553,17.17%,CA,10+ years,0
6500,2008-12-16, ,,99999%,CA,10+ years,0
10000,2008-12-16,Purchase of Used Car,551,0%,CA,1 year,0
15000,2008-12-16,To open a small fashion investment,597,12.48%,TX,< 1 year,0
1000,2008-12-16,Small business,568,55.26%,HI,< 1 year,0
3000,2008-12-16, ,0,0%,KY,2 years,0
15000,2008-12-16,Consolidate Debt for Existing Business,632,28.38%,TX,4 years,0
15000,2008-12-16,Pay off Credit Cards,,-1%,CA,3 years,0
5000,2008-12-16,Living expenses,580,7.87%,MO,< 1 year,0
4000,2008-12-16,personal harvey loan,592,43.46%,WI,5 years,0
10000,2008-12-17,New Car Loan,653,1.09%,GA,< 1 year,0
5000,2008-12-17,Immobilized DJ,0,0%,CA,1 year,0
11000,2008-12-17,Bank Of America,632,16.63%,CA,10+ years,0
1500,2008-12-17,PAYING BILL,564,1.28%,FL,5 years,0
6000,2008-12-17,MOVING EXPENSES,,-1%,CA,10+ years,0
15000,2008-12-17,Help to Stay Afloat Needed,653,15.28%,TX,1 year,0
7500,2008-12-17,have to pay down for an attorny,495,11.34%,WI,4 years,0
2000,2008-12-17,SURGERY,,-1%,FL,3 years,0
5000,2008-12-17,christmas,506,0%,GA,10+ years,0
15000,2008-12-17,help with debt,512,63.39%,OH,1 year,0
23000,2008-12-17, ,749,43.49%,DE,8 years,0
7500,2008-12-17, ,0,0%,NJ,3 years,0
3500,2008-12-17,Education Expenses,591,0%,FL,< 1 year,0
3000,2008-12-17, ,724,0%,NY,< 1 year,0
7500,2008-12-17,operating money,657,0.83%,TX,3 years,0
5000,2008-12-17,Installment Loan,0,0%,GA,< 1 year,0
19500,2008-12-17, ,637,39.25%,PA,6 years,0
2500,2008-12-17,Starting Credit Business,561,19.44%,CA,5 years,0
15000,2008-12-17,I would like to refinance my credit card,710,43.44%,MA,4 years,0
15000,2008-12-17,debt consolidation,707,28.55%,NY,1 year,0
15000,2008-12-17,Wedding expenses,690,28.99%,CA,2 years,0
13000,2008-12-17,Need A Loan,,-1%,AK,4 years,0
15000,2008-12-17,temporary loan,714,13.94%,NY,10+ years,0
4000,2008-12-17,personal,,-1%,PA,3 years,0
5000,2008-12-17,Father Trying to get Custody of Son.,425,0%,OH,1 year,0
2000,2008-12-17,Desperately need a temp. loan ,497,24.41%,AL,2 years,0
15000,2008-12-17,Store Brazilian articles in Mexico,,-1%,AK,1 year,0
15000,2008-12-17,Cash flow,712,55.32%,NH,10+ years,0
15000,2008-12-17,Small Business Startup,705,0.70%,OR,< 1 year,0
15000,2008-12-17,Credit Card Refinance / Consolidation,757,13.25%,FL,5 years,0
6000,2008-12-17,Paying off credit card debt,649,16.67%,OR,2 years,0
4000,2008-12-17, ,,99999%,MD,5 years,0
10000,2008-12-17,needed to pay tuition,613,24.96%,IL,4 years,0
3500,2008-12-17,Loan for small Online Business,675,16.45%,WY,< 1 year,0
6000,2008-12-17,Truck Loan,687,15.42%,AZ,1 year,0
5500,2008-12-17,Purchase a 1998 Volkswagon Golf ,683,10.02%,MD,< 1 year,0
10000,2008-12-17,AmEx rate hiked to 26%,586,15.31%,GA,2 years,0
7000,2008-12-17,Debt Loan,601,25.66%,TX,< 1 year,0
15000,2008-12-17,home impovement loan,728,10.34%,KS,10+ years,0
5000,2008-12-17,Income tax payment,,-1%,TX,< 1 year,0
1000,2008-12-17,Business,,-1%,TX,< 1 year,0
1000,2008-12-17,personal,504,0%,IL,1 year,0
5600,2008-12-17,PURCHASE OF SHED,692,14.95%,CA,10+ years,0
15000,2008-12-17,lendingclub,687,35.22%,HI,10+ years,0
15000,2008-12-17,debit payoff,523,23.55%,LA,< 1 year,0
10000,2008-12-17,brookgate,672,32.43%,CT,10+ years,0
15000,2008-12-17,Open a new business,726,508.80%,TX,2 years,0
18000,2008-12-17, ,755,34.87%,OH,10+ years,0
15000,2008-12-17,credit card debt,,-1%,AZ,7 years,0
7500,2008-12-17,$7500 To Consolidate Credit Cards,584,23.40%,VA,< 1 year,0
15000,2008-12-17,Menemsha Cafe,784,0%,MA,1 year,0
7000,2008-12-17,Personal Loan,683,20.72%,CA,6 years,0
15000,2008-12-17,Buying my new restaurant,,-1%,FL,7 years,0
4500,2008-12-17,Help With Dept and College Expenses,579,6%,MD,8 years,0
10000,2008-12-17,Starting a Buisness,0,0%,VA,2 years,0
2000,2008-12-17,Christmas Loan,0,0%,NJ,3 years,0
12000,2008-12-17,I need this for my family and business ,441,0%,OH,10+ years,0
1500,2008-12-17, ,685,55.48%,NH,7 years,0
1000,2008-12-17,personal,461,12.13%,OR,2 years,0
6000,2008-12-17,need help pls,501,193.50%,MD,< 1 year,0
3000,2008-12-17,Student loan,,-1%,MD,< 1 year,0
12000,2008-12-17,Internal Invoice Funding,,-1%,KS,1 year,0
2500,2008-12-17,robs loan,421,4.46%,OH,< 1 year,0
15000,2008-12-17,Need to get ahead!,482,28.78%,GA,4 years,0
3000,2008-12-17,funeral,523,20.40%,CA,< 1 year,0
1000,2008-12-17,business,474,0%,LA,8 years,0
1000,2008-12-17,I need a loan bad,458,0%,WI,3 years,0
10000,2008-12-17,Great New Job - But Have to Relocate,692,0.32%,GA,< 1 year,0
5000,2008-12-17,Consolidate to pay off faster,633,19.50%,UT,< 1 year,0
12000,2008-12-17,"Purchase, set up machine for manufacture",716,1690800%,CA,2 years,0
5000,2008-12-17, ,,99999%,AL,9 years,0
5000,2008-12-17,Need to attend Business Conference,656,47.82%,NM,7 years,0
5000,2008-12-17,Car Loan,493,0%,IL,< 1 year,0
2500,2008-12-17,Loan,569,2.14%,KY,1 year,0
6000,2008-12-17,Car Loan,562,0%,CT,3 years,0
2500,2008-12-17,Roof Repair,673,9.26%,LA,4 years,0
8500,2008-12-17,Trying to Catch Up,472,17.85%,TX,3 years,0
8500,2008-12-17, ,647,26.60%,NY,1 year,0
15000,2008-12-17,StuckINlease,512,11.58%,OH,8 years,0
7000,2008-12-17, ,,99999%,OH,< 1 year,0
15000,2008-12-17,Daughter's college expenses,591,52.61%,FL,< 1 year,0
1500,2008-12-17,Helping my Military Husband,452,261%,WA,5 years,0
15000,2008-12-17, ,677,47.03%,IL,1 year,0
15000,2008-12-17,Seek $ for park expansion & improvements,657,3.69%,FL,6 years,0
1000,2008-12-17,tryin to get back to school!!,546,4.96%,CO,1 year,0
10000,2008-12-17,Looking for start-up funding ,677,1.91%,CA,2 years,0
5000,2008-12-17,Tasha and Josh's wedding and new home,496,0%,PA,< 1 year,0
15000,2008-12-17,Loans for publishing several manuscripts,459,0%,VA,< 1 year,0
15000,2008-12-17,Consolidation,682,15.51%,NV,3 years,0
10000,2008-12-17,Little Misses Creations,415,8.20%,GA,< 1 year,0
1500,2008-12-17,medical....,555,0%,MI,10+ years,0
2250,2008-12-17,Student Loan--Employer Reimbursed,662,16%,IL,2 years,0
2500,2008-12-17,CC - Payoff,676,34.20%,IL,< 1 year,0
5000,2008-12-17,Paying off my high interest loan,612,22.59%,WA,1 year,0
3000,2008-12-17,Funeral,499,8.96%,AL,1 year,0
15000,2008-12-17,Personal Loan,,1.52%,CA,2 years,0
3200,2008-12-17,Personal Loan,643,10.71%,FL,< 1 year,0
20000,2008-12-17, ,697,26.84%,CA,1 year,0
1000,2008-12-17,medical,418,0%,VA,2 years,0
2500,2008-12-17,Medical,511,2.78%,AL,1 year,0
15000,2008-12-17,Improvements & security for sports bar,712,15.64%,CO,< 1 year,0
2000,2008-12-17, ,659,15.77%,CA,1 year,0
3500,2008-12-17,Need to improve credit and payoff debt ,572,12.66%,OK,1 year,0
15000,2008-12-17,Landscaping Company,600,17.04%,FL,3 years,0
11000,2008-12-17,College Expenses,504,34.45%,CA,4 years,0
8000,2008-12-17,Seeking a loan for a 1st time home.,464,0.46%,OR,1 year,0
12500,2008-12-17,Debt Free Plan,,-1%,WA,3 years,0
1450,2008-12-17,Debt Consolidation loan,522,29.15%,CA,10+ years,0
5000,2008-12-17, ,,99999%,CA,6 years,0
15000,2008-12-17,Startup Co. Needs Startup Money,429,6.71%,NY,1 year,0
5000,2008-12-17, ,659,15.05%,CA,7 years,0
6000,2008-12-17,Make Just one Payment ,,-1%,IL,< 1 year,0
10000,2008-12-17, ,724,26.96%,PA,6 years,0
5000,2008-12-17,Education for my stepdaughter,586,6.89%,CA,3 years,0
5000,2008-12-17,personal ,,-1%,CA,4 years,0
